GEOID,NAME,pop,white_pop,bachelors_degree,median_income,Donald Trump,Joe Biden,Biden Share
01,Alabama,4893186,3302834,546674,52035,1441170,849624,0.3708862516664528
02,Alaska,736990,466961,90161,77790,189951,153778,0.4473815127615069
04,Arizona,7174064,5292498,911228,61529,1661686,1672143,0.5015683167912931
05,Arkansas,3011873,2269959,308648,49475,760647,423932,0.3578756672201685
06,California,39346023,22053721,5764827,78672,6006429,11110250,0.6490891136066756
08,Colorado,5684926,4634305,1015989,75231,1364607,1804352,0.5693831949230015
09,Connecticut,3570549,2649994,551459,79855,714717,1080831,0.6019504908807785
10,Delaware,967679,652587,129092,69110,200603,296268,0.5962674416498447
11,District of Columbia,701974,288306,126808,90842,18586,317323,0.9446695384761944
12,Florida,21216924,15199588,2938593,57703,5668731,5297045,0.48305245337858443
13,Georgia,10516579,6020265,1377311,61224,2461854,2473633,0.5011932966290864
15,Hawaii,1420074,342923,218679,83173,196864,366130,0.6503266464651488
16,Idaho,1754367,1550979,221092,58915,554119,287021,0.3412285707492213
17,Illinois,12716164,8874067,1875011,68428,2446891,3471915,0.5865904373280693
18,Indiana,6696893,5510354,770901,58235,1729519,1242416,0.4180495199255704
19,Iowa,3150011,2806418,415048,61836,897672,759061,0.4581673691536295
20,Kansas,2912619,2416165,410344,61091,771406,570323,0.4250657174436865
21,Kentucky,4461952,3848305,447884,52238,1326646,772474,0.36799897099737033
22,Louisiana,4664616,2856904,499998,50800,1255776,856034,0.4053555954370895
23,Maine,1340825,1256030,199746,59489,360737,435072,0.5467040458200397
24,Maryland,6037624,3275048,907523,87063,976414,1985023,0.6702904704709234
25,Massachusetts,6873003,5261787,1181453,84385,1167202,2382202,0.67115549540148145
26,Michigan,9973907,7735902,1251117,59234,2649852,2804040,0.5141355934440947
27,Minnesota,5600166,4572149,919059,73382,1484065,1717077,0.5363951364856667
28,Mississippi,2981835,1729353,274566,46511,756764,539398,0.4161501417261114
29,Missouri,6124160,4978046,770259,57290,1718736,1253014,0.4216417935559855
30,Montana,1061705,932157,163183,56539,343602,244786,0.41602819907951893
31,Nebraska,1923826,1641256,269312,63015,556846,374583,0.40215947753398273
32,Nevada,3030281,1881048,348505,62043,669890,703486,0.512231173400438
33,New Hampshire,1355244,1246602,223814,77923,365660,424937,0.5374887584951625
34,New Jersey,8885418,5820147,1530150,85245,1883274,2608335,0.5807128358679484
35,New Mexico,2097021,1467849,223875,51243,401894,501614,0.5551849015171975
36,New York,19514849,12160045,2854930,71117,3244798,5230985,0.6171683489301224
37,North Carolina,10386227,7019443,1448972,56642,2758775,2684292,0.49315799346214184
38,North Dakota,760394,651470,109962,65315,235595,114902,0.3278259157710337
39,Ohio,11675275,9394878,1438177,58116,3154834,2679165,0.45923302352297285
40,Oklahoma,3949342,2809793,448366,53840,1020280,503890,0.3305996050309349
41,Oregon,4176346,3449081,627360,65667,958448,1340383,0.5830715698544173
42,Pennsylvania,12794885,10155004,1754311,63627,3377674,3458229,0.5058920525934906
44,Rhode Island,1057798,835608,155981,70305,199922,307486,0.6059935988395926
45,South Carolina,5091517,3386329,638394,54864,1385103,1091541,0.44073391250417904
46,South Dakota,879336,735228,116400,59896,261043,150471,0.365652201383185
47,Tennessee,6772268,5196680,826947,54833,1852475,1143711,0.38172229627933646
48,Texas,28635442,19805623,3671085,63826,5890347,5259126,0.4716927876322047
49,Utah,3151239,2682881,429936,74197,865140,560282,0.39306394878148365
50,Vermont,624340,584360,103940,63477,112704,242820,0.6829918655280656
51,Virginia,8509358,5643436,1304079,76398,1962430,2413568,0.551546869993999
53,Washington,7512465,5523881,1183949,77006,1584651,2369612,0.599255031847907
54,West Virginia,1807426,1672255,163598,48037,545382,235984,0.3020146768607797
55,Wisconsin,5806975,4895065,806518,63293,1610184,1630866,0.5031906326653399
56,Wyoming,581348,525246,69396,65304,193559,73491,0.27519565624414905
